ZipCode,Region,Division,StateFullName,State,StateANSI,CSA Name,CSA Code,MSA_Name,MSAANSI,County,CountyANSI
98930,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98932,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98933,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98934,West,Pacific,Washington,WA,53,,,,,KITTITAS,37
98935,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98936,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98937,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98938,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98939,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98940,West,Pacific,Washington,WA,53,,,,,KITTITAS,37
98941,West,Pacific,Washington,WA,53,,,,,KITTITAS,37
98942,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98943,West,Pacific,Washington,WA,53,,,,,KITTITAS,37
98944,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98946,West,Pacific,Washington,WA,53,,,,,KITTITAS,37
98947,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98948,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98950,West,Pacific,Washington,WA,53,,,,,KITTITAS,37
98951,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98952,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
98953,West,Pacific,Washington,WA,53,,,Yakima WA MSA,9260,YAKIMA,77
99001,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99003,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99004,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99005,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99006,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99008,West,Pacific,Washington,WA,53,,,,,LINCOLN,43
99009,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99011,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99012,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99013,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,,,STEVENS,65
99014,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99016,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
99017,West,Pacific,Washington,WA,53,"Pullman-Moscow, WA-ID",446,,,WHITMAN,75
99018,West,Pacific,Washington,WA,53,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",518,Spokane WA MSA,7840,SPOKANE,63
