437807,17255
428682,9580
370415,6529
382450,6433
410320,5098
409067,4977
395008,4773
420181,4570
401934,4561
416847,4431
385353,4068
408570,3988
424951,3959
391679,3885
424965,3748
388040,3603
425094,3561
388629,3463
391028,3438
447806,3385
435530,3202
398963,3182
424977,3008
424521,2970
308756,2923
403727,2897
405448,2836
415637,2808
387220,2787
423228,2781
418779,2736
390481,2716
455108,2643
428314,2637
375943,2619
459376,2592
401906,2508
458029,2431
395758,2395
401763,2357
445306,2330
403552,2302
441177,2271
450811,2203
402875,2202
428875,2090
356993,2083
397535,2075
459474,2063
393684,2029
427858,1974
435902,1964
395768,1950
434200,1938
435761,1913
453462,1898
395773,1895
427398,1894
400597,1873
369346,1852
407540,1843
400532,1809
423553,1798
414839,1768
369344,1761
395742,1753
396231,1752
369357,1733
389251,1690
387619,1669
397639,1666
414615,1610
385350,1597
369359,1573
420416,1567
447724,1555
452835,1554
432240,1550
395188,1549
423537,1540
434643,1508
387400,1502
413895,1501
393460,1498
453097,1491
403544,1486
441239,1483
397303,1472
411341,1471
428328,1470
460410,1457
434467,1456
453341,1453
395727,1449
381105,1448
451968,1444
446097,1435
426815,1423
428770,1418
449017,1410
426304,1402
412189,1393
450077,1381
395766,1359
404429,1352
395760,1344
455594,1341
424323,1311
449699,1310
459410,1306
360005,1282
394972,1271
401668,1271
458314,1262
437335,1252
401459,1242
417317,1235
449192,1231
393748,1225
435374,1217
403348,1212
448616,1203
405365,1198
442298,1197
448773,1197
369356,1194
392585,1194
435938,1194
434784,1182
439929,1176
390356,1163
437423,1151
444101,1141
431748,1127
406804,1115
462554,1113
417081,1110
427820,1107
450575,1106
409413,1103
395266,1100
459225,1093
408442,1089
410008,1084
409953,1078
369353,1076
437360,1073
397454,1064
407518,1063
453610,1058
456224,1057
411709,1052
461279,1042
428405,1029
458767,1026
398941,1023
409273,1023
426307,1019
378841,1016
426732,1008
445392,1003
413491,999
409289,994
451853,990
408036,984
408107,984
408500,984
383526,982
432553,980
451777,973
451034,970
456202,964
425915,962
464182,959
375038,955
453789,940
461668,935
444098,933
412026,922
430851,922
401534,919
428302,914
437039,913
423704,910
413010,908
433992,904
439806,900
381799,899
435193,899
424116,897
409556,892
409180,891
420584,890
446737,888
412608,881
453500,879
369345,863
461819,854
447689,851
437390,849
395720,841
409496,838
413562,838
369025,836
395429,832
451790,828
463438,825
408685,822
424547,815
413183,803
401719,802
394646,797
454071,797
409902,795
408524,792
437357,792
438313,792
392650,791
459959,787
444710,785
441770,776
390697,773
458941,772
413360,769
407291,765
441814,765
397737,756
442229,756
426733,743
415170,740
408451,738
449428,732
424563,731
397216,730
397133,729
398850,725
392809,721
460967,721
425971,716
425090,713
432449,711
390334,710
411971,703
428924,703
427026,702
458522,699
350141,694
448989,687
425907,677
447550,676
445398,670
397304,669
442440,669
427512,667
409083,663
414362,663
462315,661
444073,660
456223,660
398967,658
451205,657
457983,657
451332,655
407722,652
422912,651
452415,650
456992,649
407309,647
424804,647
426696,645
437275,645
441749,644
402044,637
395701,631
459908,630
387929,628
369337,627
410017,624
398255,621
405246,621
446798,621
448163,621
410854,618
423229,618
439937,616
452416,616
440185,615
394707,613
409664,612
432442,611
400913,610
413805,608
415168,607
454991,605
445769,602
394332,599
403533,598
418977,594
450665,594
402128,589
451137,588
404541,587
420800,582
441614,581
448359,580
433894,579
451803,579
422975,577
456235,576
440032,574
428428,573
401564,569
447640,566
395481,565
438472,564
437687,563
407289,560
456633,557
438724,556
438802,555
432399,552
413699,551
454490,549
454717,547
458519,547
380162,545
439654,544
451179,543
356335,540
438525,540
459818,540
406589,539
418075,539
411288,537
396033,536
447597,536
424565,532
401995,528
417222,527
450604,525
396968,524
409092,523
438073,523
442124,523
